posted_date,raw_date,amount,amount_minor,direction,section,description,description_raw,statement_start,statement_end,account_last4,source_file,raw_lines_json
2023-08-21,08/21/23,100.00,10000,credit,deposits,Agent Assisted transfer from CHK 3765 Confirmation# 2oz765d7q,08/21/23 Agent Assisted transfer from CHK 3765 Confirmation# 2oz765d7q,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""08/21/23 Agent Assisted transfer from CHK 3765 Confirmation# 2oz765d7q 100.00""]"
2023-08-21,08/21/23,100.00,10000,credit,deposits,Online Banking transfer from CHK 3765 Confirmation# 7747861458,08/21/23 Online Banking transfer from CHK 3765 Confirmation# 7747861458,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""08/21/23 Online Banking transfer from CHK 3765 Confirmation# 7747861458 100.00""]"
2023-08-21,08/21/23,150.00,15000,credit,deposits,Online Banking transfer from CHK 3765 Confirmation# 7157012483,08/21/23 Online Banking transfer from CHK 3765 Confirmation# 7157012483,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""08/21/23 Online Banking transfer from CHK 3765 Confirmation# 7157012483 150.00""]"
2023-08-21,08/21/23,150.00,15000,credit,deposits,Online Banking transfer from CHK 8534 Confirmation# 7147838570,08/21/23 Online Banking transfer from CHK 8534 Confirmation# 7147838570,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""08/21/23 Online Banking transfer from CHK 8534 Confirmation# 7147838570 150.00""]"
2023-08-22,08/22/23,43.00,4300,credit,deposits,VENMO DES:CASHOUT ID:1028932300605 INDN:MOUSTAFA NASR CO ID:5264681992 PPD,08/22/23 VENMO DES:CASHOUT ID:1028932300605 INDN:MOUSTAFA NASR CO ID:5264681992 PPD,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""08/22/23 VENMO            DES:CASHOUT    ID:1028932300605  INDN:MOUSTAFA NASR           CO"", ""ID:5264681992 PPD43.00""]"
2023-08-24,08/24/23,-398.71,-39871,debit,withdrawals,CHECKCARD 0823 AMZN MKTP US*T33HF3C62 AMZN.COM/BILLWA 24431063235083325580744,08/24/23 CHECKCARD 0823 AMZN MKTP US*T33HF3C62 AMZN.COM/BILLWA 24431063235083325580744,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""08/24/23 CHECKCARD  0823 AMZN MKTP US*T33HF3C62 AMZN.COM/BILLWA"", ""24431063235083325580744-398.71""]"
2023-08-24,08/24/23,-21.18,-2118,debit,withdrawals,PURCHASE 0823 AMZN Mktp US*T34ZZ8CH2 Amzn.com/billWA,08/24/23 PURCHASE 0823 AMZN Mktp US*T34ZZ8CH2 Amzn.com/billWA,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""08/24/23 PURCHASE   0823 AMZN Mktp US*T34ZZ8CH2 Amzn.com/billWA -21.18""]"
2023-08-24,08/24/23,-15.91,-1591,debit,withdrawals,PURCHASE 0823 AMZN Mktp US*TQ8326D81 Amzn.com/billWA,08/24/23 PURCHASE 0823 AMZN Mktp US*TQ8326D81 Amzn.com/billWA,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""08/24/23 PURCHASE   0823 AMZN Mktp US*TQ8326D81 Amzn.com/billWA -15.91""]"
2023-08-24,08/24/23,-11.99,-1199,debit,withdrawals,CHECKCARD 0823 AMZN MKTP US*TQ78G3Q61 AMZN.COM/BILLWA 24431063235083710468505,08/24/23 CHECKCARD 0823 AMZN MKTP US*TQ78G3Q61 AMZN.COM/BILLWA 24431063235083710468505,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""08/24/23 CHECKCARD  0823 AMZN MKTP US*TQ78G3Q61 AMZN.COM/BILLWA"", ""24431063235083710468505-11.99""]"
2023-08-28,08/28/23,25.46,2546,credit,deposits,CHECKCARD 0828 AMZN MKTP US AMZN.COM/B AMZN.COM/BILLWA 7443106324008300702,08/28/23 CHECKCARD 0828 AMZN MKTP US AMZN.COM/B AMZN.COM/BILLWA 7443106324008300702,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""08/28/23 CHECKCARD  0828 AMZN MKTP US AMZN.COM/B AMZN.COM/BILLWA 7443106324008300702 25.46""]"
2023-08-30,08/30/23,-15.50,-1550,debit,withdrawals,NWS NEW BRUNSW 08/30 #000005328 MOBILE PURCHASE 1 PENN PLAZA EAST NEW BRUNSWICK NJ,08/30/23 NWS NEW BRUNSW 08/30 #000005328 MOBILE PURCHASE 1 PENN PLAZA EAST NEW BRUNSWICK NJ,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""08/30/23 NWS NEW BRUNSW  08/30 #000005328 MOBILE PURCHASE 1 PENN PLAZA EAST  NEW"", ""BRUNSWICK NJ-15.50""]"
2023-08-30,08/30/23,90.00,9000,credit,deposits,VENMO DES:CASHOUT ID:1029081475185 INDN:MOUSTAFA NASR CO ID:5264681992 PPD,08/30/23 VENMO DES:CASHOUT ID:1029081475185 INDN:MOUSTAFA NASR CO ID:5264681992 PPD,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""08/30/23 VENMO            DES:CASHOUT    ID:1029081475185  INDN:MOUSTAFA NASR           CO"", ""ID:5264681992 PPD90.00""]"
