posted_date,raw_date,amount,amount_minor,direction,section,description,description_raw,statement_start,statement_end,account_last4,source_file,raw_lines_json
2024-01-01,01/01/24,2800.00,280000,credit,deposits,SYNTHETIC PAYROLL ACME LABS,01/01/24 SYNTHETIC PAYROLL ACME LABS,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/01/24 SYNTHETIC PAYROLL ACME LABS 2800.00""]"
2024-01-02,01/02/24,120.00,12000,credit,deposits,SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT,01/02/24 SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/02/24 SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT 120.00""]"
2024-01-03,01/03/24,-920.00,-92000,debit,withdrawals,SYNTHETIC RENT RESIDENCE,01/03/24 SYNTHETIC RENT RESIDENCE,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/03/24 SYNTHETIC RENT RESIDENCE -920.00""]"
2024-01-05,01/05/24,-128.00,-12800,debit,withdrawals,EXAMPLE UTILITIES SERVICE,01/05/24 EXAMPLE UTILITIES SERVICE,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/05/24 EXAMPLE UTILITIES SERVICE -128.00""]"
2024-01-06,01/06/24,-65.00,-6500,debit,withdrawals,DEMO INTERNET SERVICE,01/06/24 DEMO INTERNET SERVICE,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/06/24 DEMO INTERNET SERVICE -65.00""]"
2024-01-07,01/07/24,-55.00,-5500,debit,withdrawals,TEST MOBILE PLAN,01/07/24 TEST MOBILE PLAN,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/07/24 TEST MOBILE PLAN -55.00""]"
2024-01-08,01/08/24,-15.99,-1599,debit,withdrawals,DEMO STREAMING MEMBERSHIP,01/08/24 DEMO STREAMING MEMBERSHIP,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/08/24 DEMO STREAMING MEMBERSHIP -15.99""]"
2024-01-10,01/10/24,-86.00,-8600,debit,withdrawals,TEST GROCERY MART,01/10/24 TEST GROCERY MART,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/10/24 TEST GROCERY MART -86.00""]"
2024-01-14,01/14/24,-91.20,-9120,debit,withdrawals,TEST GROCERY MART,01/14/24 TEST GROCERY MART,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/14/24 TEST GROCERY MART -91.20""]"
2024-01-21,01/21/24,-78.40,-7840,debit,withdrawals,TEST GROCERY MART,01/21/24 TEST GROCERY MART,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/21/24 TEST GROCERY MART -78.40""]"
2024-01-27,01/27/24,-102.60,-10260,debit,withdrawals,TEST GROCERY MART,01/27/24 TEST GROCERY MART,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/27/24 TEST GROCERY MART -102.60""]"
2024-01-04,01/04/24,-32.00,-3200,debit,withdrawals,DEMO TRANSIT PASS,01/04/24 DEMO TRANSIT PASS,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/04/24 DEMO TRANSIT PASS -32.00""]"
2024-01-11,01/11/24,-32.00,-3200,debit,withdrawals,DEMO TRANSIT PASS,01/11/24 DEMO TRANSIT PASS,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/11/24 DEMO TRANSIT PASS -32.00""]"
2024-01-18,01/18/24,-36.00,-3600,debit,withdrawals,DEMO TRANSIT PASS,01/18/24 DEMO TRANSIT PASS,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/18/24 DEMO TRANSIT PASS -36.00""]"
2024-01-25,01/25/24,-32.00,-3200,debit,withdrawals,DEMO TRANSIT PASS,01/25/24 DEMO TRANSIT PASS,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/25/24 DEMO TRANSIT PASS -32.00""]"
2024-01-12,01/12/24,-24.50,-2450,debit,withdrawals,FIXTURE CAFE COLLECTIVE,01/12/24 FIXTURE CAFE COLLECTIVE,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/12/24 FIXTURE CAFE COLLECTIVE -24.50""]"
